City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
179,Terrace Bay,CA,48.7834,-87.1,52.25,87,100,1.86,overcast clouds
180,Suez,EG,29.9737,32.5263,71.17,66,0,4.85,overcast clouds
181,Matara,LK,5.9485,80.5353,82.83,73,99,16.06,overcast clouds
182,Valdivia,CL,-39.8142,-73.2459,51.89,98,100,3.6,overcast clouds
183,Boysun,UZ,38.2061,67.1986,66.33,24,0,4.34,overcast clouds
184,Shemonaikha,KZ,50.6328,81.9056,47.77,35,1,5.08,overcast clouds
185,Dingle,PH,10.9995,122.6711,87.19,70,100,6.98,overcast clouds
186,Forestville,US,38.8451,-76.875,48.18,93,75,16.11,overcast clouds
187,Ancud,CL,-41.8697,-73.8203,52.23,95,100,12.59,overcast clouds
188,Kozhva,RU,65.1073,57.0459,40.3,80,100,3.04,overcast clouds
189,Comarapa,BO,-17.9,-64.4833,53.94,88,76,2.46,overcast clouds
190,Pitimbu,BR,-7.4706,-34.8086,72.19,77,76,9.6,overcast clouds
191,Mahibadhoo,MV,3.7833,72.9667,81.82,73,100,15.46,overcast clouds
192,Sinnamary,GF,5.3833,-52.95,76.96,88,93,8.61,overcast clouds
193,Nanortalik,GL,60.1432,-45.2371,36.73,71,3,6.58,overcast clouds
194,Dwarka,IN,22.2394,68.9678,82.94,64,43,3.62,overcast clouds
195,Hambantota,LK,6.1241,81.1185,88.14,66,40,11.5,overcast clouds
196,Saint-Augustin,CA,51.226,-58.6502,42.1,69,15,14.25,overcast clouds
197,Aku,NG,6.7081,7.3167,69.82,99,98,2.64,overcast clouds
198,Vardo,NO,70.3705,31.1107,40.98,87,100,4.61,overcast clouds
199,Teguise,ES,29.0605,-13.564,71.82,46,0,13.8,overcast clouds
200,Adre,TD,13.4667,22.2,74.55,67,95,2.19,overcast clouds
201,Barra,BR,-11.0894,-43.1417,75.09,45,16,7.72,overcast clouds
202,Grand Gaube,MU,-20.0064,57.6608,76.37,62,1,7.0,overcast clouds
203,Dzaoudzi,YT,-12.7887,45.2699,76.89,78,0,3.44,overcast clouds
204,Atar,MR,20.5169,-13.0499,87.98,34,73,6.62,overcast clouds
205,Valledupar,CO,10.4631,-73.2532,74.79,82,48,2.42,overcast clouds
206,Muravlenko,RU,63.7898,74.523,40.51,89,99,12.91,overcast clouds
207,Ilulissat,GL,69.2167,-51.1,30.22,74,100,10.36,overcast clouds
208,Tamandare,BR,-8.7597,-35.1047,74.68,79,94,5.97,overcast clouds
209,Damghan,IR,36.1683,54.348,75.52,23,0,2.64,overcast clouds
210,Mortka,RU,59.3322,66.0214,50.34,85,100,7.43,overcast clouds
211,Codrington,AU,-38.2667,141.9667,53.87,75,100,16.78,overcast clouds
212,Kindu,CD,-2.95,25.95,69.94,97,77,1.52,overcast clouds
213,Almazar,UZ,40.3217,69.0106,70.63,18,0,2.93,overcast clouds
214,Plouzane,FR,48.3833,-4.6167,55.72,94,100,8.05,overcast clouds
215,San Andres,CO,12.5847,-81.7006,78.82,89,75,2.3,overcast clouds
216,Natal,BR,-5.795,-35.2094,72.25,94,40,3.44,overcast clouds
217,Beloha,MG,-25.1667,45.05,80.15,38,0,1.01,overcast clouds
218,Michurinsk,RU,52.8978,40.4907,50.63,75,27,14.14,overcast clouds
219,Axim,GH,4.8699,-2.2405,74.84,93,81,4.81,overcast clouds
220,Narsaq,GL,60.9167,-46.05,34.02,50,0,5.26,overcast clouds
221,Qarqin,AF,37.4185,66.0436,75.22,19,0,2.86,overcast clouds
222,Luderitz,NA,-26.6481,15.1594,55.17,80,0,19.55,overcast clouds
223,Wukari,NG,7.85,9.7833,71.15,97,100,3.6,overcast clouds
224,Imbituba,BR,-28.24,-48.6703,64.85,78,100,7.38,overcast clouds
225,Ambovombe,MG,-25.1667,46.0833,78.17,43,0,2.64,overcast clouds
226,Kiruna,SE,67.8557,20.2251,38.32,100,100,0.0,overcast clouds
227,Luanda,AO,-8.8368,13.2343,71.82,86,69,4.97,overcast clouds
228,Temnikov,RU,54.6302,43.2148,50.49,76,29,10.31,overcast clouds
229,Margate,GB,51.3813,1.3862,60.91,93,88,5.99,overcast clouds
230,Port Elizabeth,ZA,-33.918,25.5701,60.31,81,12,5.01,overcast clouds
231,Thinadhoo,MV,0.5333,72.9333,82.29,74,100,15.52,overcast clouds
232,Nivala,FI,63.9167,24.9667,39.69,94,98,4.0,overcast clouds
233,Muros,ES,42.7762,-9.0603,58.08,94,8,2.98,overcast clouds
234,Shajapur,IN,23.4333,76.2667,84.07,50,63,13.15,overcast clouds
235,Alcudia,ES,39.8532,3.1214,67.37,73,100,1.23,overcast clouds
236,Pemba,MZ,-12.974,40.5178,75.6,69,6,4.56,overcast clouds
237,Porto Seguro,BR,-16.4497,-39.0647,74.28,87,12,11.1,overcast clouds
238,Chaykovskiy,RU,56.7686,54.1148,50.4,46,53,8.75,overcast clouds
239,Pangnirtung,CA,66.1451,-65.7125,33.22,67,100,11.32,overcast clouds
240,Salym,RU,60.0625,71.4789,45.91,92,100,7.58,overcast clouds
241,Rio Gallegos,AR,-51.6226,-69.2181,35.65,100,40,3.44,overcast clouds
242,Caravelas,BR,-17.7125,-39.2481,74.3,89,58,9.17,overcast clouds
243,Sayyan,YE,15.1718,44.3244,63.1,28,1,5.61,overcast clouds
244,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,0,10.36,overcast clouds
245,Bubaque,GW,11.2833,-15.8333,80.71,77,100,10.33,overcast clouds
246,Berlevag,NO,70.8578,29.0864,39.0,87,75,4.61,overcast clouds
247,Quatre Cocos,MU,-20.2078,57.7625,76.08,73,25,14.03,overcast clouds
248,Huarmey,PE,-10.0681,-78.1522,61.74,87,48,9.17,overcast clouds
249,Chupa,RU,66.27,33.0549,41.81,83,100,5.21,overcast clouds
250,Novoagansk,RU,61.9449,76.6625,40.06,96,100,11.77,overcast clouds
251,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,80.78,49,43,2.86,overcast clouds
252,Itacare,BR,-14.2775,-38.9967,72.75,83,59,7.49,overcast clouds
