City_ID,City,Country,Max Temp,Lat,Lng,Current_Description,Hotel Name
572,Taltal,CL,55.33,-25.4,-70.4833,overcast clouds,Residencial Karime
573,Gus-Zheleznyy,RU,46.54,55.0581,41.1656,overcast clouds,
574,Shelburne,CA,44.6,44.0787,-80.2041,overcast clouds,The Retreat at the Farm
576,Oleksandrivka,UA,48.51,48.9634,32.2349,overcast clouds,Смт олександрівка
578,Honningsvag,NO,42.55,70.9821,25.9704,overcast clouds,
579,Ussel,FR,45.79,45.55,2.3167,overcast clouds,Logis Hôtel les Gravades
582,Uyskoye,RU,48.78,54.3775,60.0047,overcast clouds,Niva
587,Chapais,CA,44.38,49.7834,-74.8492,overcast clouds,Hôtel Opémiska
590,Tandil,AR,46.69,-37.3217,-59.1332,overcast clouds,Hostal de la Sierra Tandil
594,Morgantown,US,47.25,39.6295,-79.9559,overcast clouds,Morgantown Marriott at Waterfront Place
595,Ustrzyki Dolne,PL,45.99,49.4304,22.5938,overcast clouds,Hostel Karpacki
599,Suamico,US,50.14,44.6319,-88.0393,overcast clouds,"Country Inn & Suites by Radisson, Green Bay North, WI"
600,Ipanema,BR,55.38,-30.1391,-51.2244,overcast clouds,Terra e Brisa
603,Gornopravdinsk,RU,48.16,60.05,69.9,overcast clouds,Hostel
606,Staroaleyskoye,RU,45.88,51.0061,82.0,overcast clouds,"Gostinitsa ""Uyut"""
620,Kiyasovo,RU,49.44,56.3491,53.1244,overcast clouds,Гостиница Центральная
626,Rio Bueno,CL,51.94,-40.3167,-72.9667,overcast clouds,Hostal Caulle
628,Iglino,RU,46.49,54.8324,56.4126,overcast clouds,
632,Winsum,NL,52.97,53.33,6.5208,overcast clouds,Tuinhuis
637,Ous,RU,52.3,60.9058,61.5186,overcast clouds,
639,Polunochnoye,RU,50.38,60.8697,60.4153,overcast clouds,
642,Sovetskiy,RU,46.89,61.3614,63.5842,overcast clouds,Apartment on Kievskaya 29
648,Naryan-Mar,RU,40.75,67.6713,53.087,overcast clouds,Hostel Agat
652,Srednyaya Yelyuzan,RU,53.49,53.0241,45.9529,overcast clouds,
666,Durazno,UY,41.25,-33.4131,-56.5006,overcast clouds,Hotel Santa Cristina
672,Valparaiso,CL,49.64,-33.0393,-71.6273,overcast clouds,Hotel Ultramar
676,Groningen,NL,53.04,53.25,6.75,overcast clouds,Bed&Breakfast Lageland
677,Sorkjosen,NO,42.8,69.8,20.9333,overcast clouds,Reisafjord Hotel AS
679,Soto,AR,51.04,-32.8107,-61.4026,overcast clouds,Hotel Verdesole
686,Igrim,RU,44.92,63.1906,64.4162,overcast clouds,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
687,Rochegda,RU,53.29,62.8,43.25,overcast clouds,
688,Senno,RU,48.25,59.5336,33.9167,overcast clouds,
689,Dolores,AR,43.41,-36.3132,-57.6792,overcast clouds,Apart Hotel - Arianos
696,Kozlovo,RU,49.73,56.5167,36.2667,overcast clouds,
